"Have.you.ever.celebrated.Halloween.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Angel.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Athlete.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Bat.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Cat.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Character.from.a.movie.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Character.from.a.TV.show.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Clown.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Devil.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Doll.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Dinosaur.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Ghost.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Fairy.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Food.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Frankenstein.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Mermaid.merman..","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Mouse.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Mummy.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Musician.Actor.Artist.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Ninja.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...A.pun.based.costume.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Pirate.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Police.Officer.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Politician.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Prince.Princess.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Pumpkin.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Skeleton.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Superhero.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Supervillain.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Vampire.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Witch..not.from.movie.TV.show..","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Wizard..not.from.movie.TV.show..or.Washington.Wizards..","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Zombie.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Other.monster.not.listed.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Other.animal.not.listed.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Something.else.not.listed.","Did.you.ever.go.to.haunted.houses...","Did.you.ever.go.trick.or.treating.","Why.didn.t.you.go.trick.or.treating.","Do.you.wish.you.had.gone.trick.or.treating.","How.old.were.you.when.you.started.going.trick.or.treating.","How.old.were.you.during.your.last.year.of.going.trick.or.treating.","Do.you.still.go.trick.or.treating.for.yourself.or.with.friends.","What.was.your.favorite.candy.","What.was.your.least.favorite.candy.","Why.didn.t.you.celebrate.Halloween.as.a.kid.","Each.year..do.you.usually.attend.a.Halloween.party.","Describe.Halloween.in.three.words","What.is.your.gender.","What.is.your.race.","Are.you.Hispanic.and.or.Latino.a","What.is.your.age.group.","As.a.child..was.your.birthday.between.the.start..of.school.and.Halloween..or.after.Halloween.","Which.region.of.the.US.do.you.live.in.","Do.you.still.go.trick.or.treating.for.yourself.with.friends."
"Yes","","","","","","","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17;As an adult","as an older child (10-17);as an adult (18+)","Yes","","","3","12",NA,"anything Chocholate.","Candy Corn","","Never","Children having fun","Male","White","No","55+","Prefer not to answer/I don't know","Midwest","No"
"Yes","","","","When you were 10 to 17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","as an older child (10-17);as an adult (18+)","No","Parents forbade it","No","","","","","","","Rarely","costumes candy night","Female","Black/African American","No","18-24","After Halloween","Southeast",NA
"Yes","","","","When you were 10 to 17","","As an adult","","","","","When you were 9 or younger","When you were 9 or younger;As an adult","","","","","","","","As an adult","As an adult","","","When you were 9 or younger","When you were 10 to 17","","As an adult","","","As an adult","","","","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17;As an adult","as an adult (18+)","Yes","","","0-2","11-12","No","Smarties","Mary Jane taffy","","Always/almost always","Creative adventure silly","Female","White","No","25-34","After Halloween","West",NA
"Yes","When you were 9 or younger","","","When you were 9 or younger","","When you were 9 or younger","","","","","","","","","","","","","","","","","","When you were 10 to 17","","","","","When you were 10 to 17","","","As an adult","","","","as an adult (18+)","Yes","","","3-4","18","No","Hersey bars and peanut butter cups","Kit kats, Twix, crunch bars","","Never","Best day ever","Female","White","Yes","18-24","After Halloween","Southeast",NA
"Yes","","","","","When you were 9 or younger","When you were 9 or younger","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","as a younger child (9 and under)","Yes","","","3-5","5",NA,"snickers","twitts","","Rarely","fun fun day","Male","Asian","No","35-44","Between start of school and Halloween","West","Yes"
"Yes","","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","","","","","","","","When you were 9 or younger","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17","as an older child (10-17);as an adult (18+)","Yes","","","4","17","Yes","Milky Way","Smarties","","Sometimes","Fun spooky magic","Female","White","No","18-24","Between start of school and Halloween","Northeast",NA
"Yes","","","","When you were 10 to 17","","When you were 10 to 17","","","When you were 9 or younger","","","","","","","","","","","When you were 10 to 17","","","","","","","","","","When you were 10 to 17","","","","","When you were 9 or younger","as an adult (18+)","Yes","","","5","14-16",NA,"Chocolate","Candy corn","","Sometimes","Favorite Holiday Ever","Female","White","No","45-54","Prefer not to answer/I don't know","Northeast","No"
"Yes","","","","","When you were 9 or younger;When you were 10 to 17","When you were 10 to 17","","When you were 10 to 17","","","When you were 9 or younger","","","","","","","When you were 10 to 17","","","","When you were 10 to 17","","","","","","","When you were 9 or younger;When you were 10 to 17","","","","","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","5-13","13",NA,"Reeses peanut butter cups","Candy corn","","Sometimes","Best time year","Male","White","No","35-44","After Halloween","Midwest","Yes"
"Yes","","","","","","","","","","","When you were 9 or younger","","","","","","","","","","","","","When you were 9 or younger","","","","","When you were 9 or younger","When you were 9 or younger","","When you were 9 or younger","","","When you were 9 or younger","as a younger child (9 and under);as an older child (10-17)","Yes","","","4","15",NA,"Snickers","Circus peanuts","","Always/almost always","I love it","Female","White","No","55+","After Halloween","Southeast","No"
"Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","As an adult","as an adult (18+)","Yes","","","8","14-16","No","","liquorice","","Sometimes","fun easy good","Female","White","No","55+","Between start of school and Halloween","Midwest",NA
"Yes","","","","When you were 9 or younger","","","When you were 9 or younger","As an adult","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger","","","","","","","","","","","","","","","","","","When you were 10 to 17;As an adult","When you were 10 to 17","","","","","as an adult (18+)","Yes","","","4","15",NA,"Homemade popcorn balls","Peanut butter kisses in the orange and black wrappers","","Sometimes","Fun fun fun","Female","White","No","55+","After Halloween","Southwest","No"
"Yes","As an adult","As an adult","","","As an adult","","","As an adult","","","One of these ranges, but I forget","","","","","","","","","","One of these ranges, but I forget","","","","","One of these ranges, but I forget","As an adult","As an adult","As an adult","","","As an adult","One of these ranges, but I forget","","","as an older child (10-17);as an adult (18+)","Yes","","","4","12",NA,"Reese's ","Twizzlers ","","Sometimes","Spooky Fun amazing","Male","White","No","35-44","Between start of school and Halloween","Southeast","No"
"Yes","","","","When you were 9 or younger;When you were 10 to 17;As an adult","","","","","As an adult","","","","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17;As an adult","","","","","","When you were 9 or younger;When you were 10 to 17","","","","","When you were 9 or younger;When you were 10 to 17;As an adult","as a younger child (9 and under);as an older child (10-17)","Yes","","","2","12","No","Skittles","Licorice","","Always/almost always","Costumes pumpkins booze","Female","White","No","25-34","After Halloween","Southeast",NA
"Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","","","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","10","15",NA,"Bit-o-honey","Licorice","","Never","It was fun","Female","White","No","55+","After Halloween","West","No"
"Yes","","","","When you were 9 or younger","","","When you were 10 to 17","","","","","When you were 9 or younger","","","When you were 10 to 17","","","","","","","","","When you were 9 or younger;When you were 10 to 17","","","","","","As an adult","","","","When you were 9 or younger","One of these ranges, but I forget","as an older child (10-17);as an adult (18+)","Yes","","","0","14-16","No","Peanut toffee","sixletts","","Rarely","Honor your dead","Female","White","No","25-34","After Halloween","Southeast",NA
"Yes","","","","","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","","","","","When you were 9 or younger","","","","","","","","","","","","When you were 9 or younger","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17","","Yes","","","2","13","No","Reeses","Whoppers","","Sometimes","Cozy spooky pumpkin","Female","White","No","25-34","After Halloween","Midwest",NA
"Yes","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger","When you were 9 or younger","","","","","When you were 9 or younger","When you were 9 or younger","","","","When you were 9 or younger","","","","","","","","When you were 9 or younger","When you were 9 or younger","","","","","When you were 9 or younger","","","","When you were 9 or younger","When you were 9 or younger","as a younger child (9 and under);as an older child (10-17)","Yes","","","2","16","No","Now and laters","Licorice","","Always/almost always","Fun cute spooky","Female","White","No","25-34","After Halloween","West",NA
"Yes","","When you were 9 or younger;When you were 10 to 17","","","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","","","","","","","When you were 9 or younger","","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17;As an adult","as a younger child (9 and under);as an older child (10-17)","Yes","","","3","12-15","No","Reese's","Starburst","","Rarely","Sugar ghosts cider","Male","White","No","25-34","After Halloween","Midwest",NA
"Yes","","","","","When you were 9 or younger","","","","","","","","","","","","","","When you were 9 or younger","","When you were 9 or younger","","","","","","When you were 9 or younger","","","","","","When you were 9 or younger","","When you were 9 or younger","as a younger child (9 and under)","Yes","","","4","11","No","Reese’s or Nerds","Laffy Taffy or those yellow things (buttercups?)","","Never","Fun Spooky Childish","Male","White","Yes","Under 18","After Halloween","Southwest",NA
"Yes","","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","","","Yes","","","3-7","9-12","No","Kitkat, reeses, crunch bar, lindt truffles, nerds, twix","Anything with coconut, nuts, or fruit in it. Don't like gummies except swedish fish.","","Never","Fun creative spoopy","Male","White","No","18-24","Between start of school and Halloween","Southeast",NA
"Yes","","","","","","","","","","","","","","When you were 9 or younger","","","","","","","When you were 9 or younger","","","","","","","","","","","","","","","as a younger child (9 and under);as an older child (10-17)","Yes","","","9-10","15",NA,"Candy cane","Coal","","Sometimes","Fun dangerous spooky","Male","White","No","55+","After Halloween","Midwest","Yes"
"Yes","When you were 10 to 17","","","When you were 10 to 17","When you were 10 to 17","","When you were 9 or younger","When you were 9 or younger","","","When you were 9 or younger","When you were 10 to 17","","When you were 9 or younger","","","","","","","","","","When you were 9 or younger","When you were 9 or younger","","","","","","","When you were 9 or younger;When you were 10 to 17","","","","as an older child (10-17);as an adult (18+)","Yes","","","3","13",NA,"Snickers","Candy corn","","Sometimes","Spooktacular fun mystical","Female","White","No","35-44","Between start of school and Halloween","Midwest","No"
"Yes","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 10 to 17;As an adult","When you were 10 to 17;As an adult","When you were 9 or younger","When you were 9 or younger;As an adult","When you were 9 or younger;When you were 10 to 17;As an adult","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17;As an adult","When you were 9 or younger;As an adult","When you were 9 or younger","When you were 9 or younger;As an adult","When you were 9 or younger;As an adult","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17;As an adult","When you were 10 to 17;As an adult","When you were 10 to 17;As an adult","As an adult","When you were 10 to 17;As an adult","When you were 10 to 17;As an adult","As an adult","When you were 9 or younger;When you were 10 to 17;As an adult","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17;As an adult","When you were 9 or younger;When you were 10 to 17;As an adult","When you were 10 to 17;As an adult","When you were 9 or younger;When you were 10 to 17;As an adult","When you were 10 to 17;As an adult","When you were 10 to 17;As an adult","When you were 9 or younger;When you were 10 to 17;As an adult","When you were 9 or younger;When you were 10 to 17;As an adult","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","3","13",NA,"Reese","Sweet tarts","","Always/almost always","Spooky favorite haunted","Female","White","No","25-34","Between start of school and Halloween","Northeast","No"
"Yes","","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger","","As an adult","","","","","","","","","When you were 9 or younger","","When you were 9 or younger","","When you were 10 to 17","","","","","When you were 9 or younger","","","","","","","","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","2-4","16-17",NA,"100 grand","circus peanuts","","Rarely","spooky sugar autumn","Male","White","Yes","25-34","After Halloween","Midwest","No"
"Yes","When you were 9 or younger","","","","When you were 9 or younger","","When you were 9 or younger","","","","When you were 9 or younger","","","","","","","","","","When you were 9 or younger","","","When you were 9 or younger","When you were 9 or younger","","","","","When you were 9 or younger","","","","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","2","29",NA,"Reeses ","Candy corn","","Rarely","Scary fun candy","Female","White","No","25-34","After Halloween","Northeast","Yes"
"Yes","","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","When you were 9 or younger","","","","When you were 9 or younger","","","","","","","","","","","When you were 9 or younger","","","When you were 9 or younger;When you were 10 to 17","","Yes","","","6","12","No","100 Grand","Unlabeled misc hard candies","","Sometimes","Spooky drinking excuse","Male","White","No","18-24","After Halloween","Midwest",NA
"Yes","","","","","When you were 10 to 17","When you were 9 or younger","","","","","","","","","","","","","","As an adult","","","","","","","When you were 9 or younger;When you were 10 to 17","","","","","","","","When you were 9 or younger;When you were 10 to 17","","Yes","","","7-9","18","No","Twix","Mints","","Sometimes","Spooky Cosplay Fun","Male","White","No","18-24","After Halloween","Northeast",NA
"Yes","","","","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","As an adult","","as a younger child (9 and under)","Yes","","","6","16","No","Milky Way","3 musketeers","","Rarely","candy monsters spooky","Female","Asian","No","25-34","Between start of school and Halloween","West",NA
"Yes","When you were 10 to 17","","","","","","","","","","","","","","","","","","","When you were 10 to 17","When you were 9 or younger","","","","","","","","","","","","","When you were 9 or younger","","as an older child (10-17)","Yes","","","5-6","15","Yes","Kit-Kats ","Skittles","","Sometimes","Candy pumpkins costumes","Male","White","No","Under 18","After Halloween","Midwest",NA
"Yes","When you were 9 or younger","","When you were 10 to 17","When you were 10 to 17","","","","When you were 10 to 17;As an adult","","","When you were 10 to 17;As an adult","","","","","When you were 10 to 17","","","","","When you were 10 to 17","","","","","When you were 10 to 17","","","When you were 10 to 17","When you were 10 to 17;As an adult","","As an adult","","","As an adult","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","1","17",NA,"Chocolate ","Candy corn or popcorn balls","","Sometimes","F u n","Female","White","No","35-44","Between start of school and Halloween","Midwest","No"
"Yes","","","","When you were 9 or younger","","","When you were 9 or younger","","","","","","","","","As an adult","","","","","","","","","When you were 9 or younger","","","","","When you were 9 or younger","","","When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17;As an adult","","Yes","","","2-3","14-15","No","reeces","dots","","Sometimes","fun candy costumes","Female","White","No","25-34","After Halloween","Midwest",NA
"Yes","","","","","","","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","","","","","","","","as an older child (10-17)","Yes","","","5","11",NA,"Hershey bars","Hard candy","","Sometimes","Excting erry cool","Female","White","No","45-54","After Halloween","Southeast","No"
"Yes","","","","","When you were 9 or younger","When you were 9 or younger","","","","When you were 9 or younger","When you were 9 or younger","","","","","","When you were 9 or younger","","When you were 9 or younger","","When you were 9 or younger","","","","","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","","","","When you were 9 or younger","","","","as a younger child (9 and under)","Yes","","","5-9","10-12",NA,"Lemonheads","Those awful caramel-things wrapped in brown plastic","","Sometimes","candy costumes jack-o-lanterns","Male","White","No","18-24","After Halloween","Midwest",""
"Yes","","","","","","When you were 9 or younger","","","When you were 9 or younger","","When you were 10 to 17","","","","","","","","","","","","","When you were 9 or younger","","","When you were 10 to 17","","As an adult","As an adult","","As an adult","","","","as an older child (10-17)","Yes","","","2-16","16",NA,"Snickers","Flavored tootsie rolls","","Never","Candy infused fun","Female","White","No","45-54","After Halloween","Midwest","No"
"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Religious reasons","Never","Harmless fun non-satanic","Female","White","No","25-34","After Halloween","I do not live in the United States",NA
"Yes","When you were 9 or younger","","","When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","","","When you were 9 or younger;When you were 10 to 17","","","When you were 9 or younger","When you were 9 or younger","","","","","","","","","","","","","","When you were 10 to 17","","","","When you were 9 or younger","","When you were 9 or younger","","","","as an older child (10-17);as an adult (18+)","Yes","","","6","15",NA,"3 musketeers","White chocolate","","Always/almost always","Spooky wholesome fun","Female","White","No","18-24","After Halloween","Southeast","No"
"Yes","","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","as an older child (10-17);as an adult (18+)","Yes","","","6","15","No","Twix","Jelly beans","","Always/almost always","Spooky Scary movies","Male","White","No","18-24","After Halloween","West",NA
"Yes","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17","When you were 10 to 17","When you were 10 to 17","When you were 9 or younger","When you were 10 to 17","When you were 9 or younger","","","","","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","","","When you were 9 or younger;When you were 10 to 17","","","","","","When you were 9 or younger","as an older child (10-17);as an adult (18+)","Yes","","","2","14",NA,"Reese cups","Sour candy","","Sometimes","Halloween is scary","Female","White","No","35-44","Between start of school and Halloween","Southeast","No"
"Yes","","","","","When you were 9 or younger;When you were 10 to 17;As an adult","As an adult","As an adult","As an adult","","","When you were 9 or younger","As an adult","","","","","When you were 10 to 17","","","","","","","","When you were 9 or younger","When you were 9 or younger;As an adult","When you were 9 or younger;When you were 10 to 17;As an adult","When you were 9 or younger;When you were 10 to 17;As an adult","As an adult","As an adult","","When you were 9 or younger;When you were 10 to 17;As an adult","As an adult","","As an adult","as an older child (10-17);as an adult (18+)","Yes","","","5-6","13-14",NA,"Hershey’s chocolate bars or minis","Anything caramel","","Always/almost always","Wonderful Life Best","Male","White","No","35-44","After Halloween","Midwest","No"
"Yes","","","","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","","","","","","","","","When you were 9 or younger","When you were 9 or younger","","","","When you were 10 to 17","","","","","","When you were 10 to 17","as an older child (10-17)","Yes","","","1","15","No","Twix","Candy corn","","Sometimes","Spooky fun lively","Female","White","No","18-24","After Halloween","Southwest",NA
"Yes","","","","","","","","","","","","","","","","","","When you were 10 to 17","","As an adult","","","","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17","","Yes","","","5","12","No","Mounds bar","Pez ","","Sometimes","Eerie slinky party","Male","White","No","25-34","After Halloween","Northeast",NA
"Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17","","","","","","When you were 10 to 17","","Yes","","","2-6","16","No","kitkat","almond joy","","Never","candy spooky kids","Female","White","No","25-34","After Halloween","Northeast",NA
"Yes","When you were 10 to 17","","","","","When you were 9 or younger","","","","","","","","","","","","When you were 9 or younger","","","","","","","","When you were 10 to 17","","","When you were 10 to 17","","","When you were 10 to 17","","","","as an older child (10-17)","Yes","","","3","12",NA,"Anything chocolate.","Extremely sour things","","Never","Spooky Fantastical Sugary","Other","White","No","18-24","After Halloween","Southeast","No"
"Yes","When you were 9 or younger","When you were 10 to 17","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 10 to 17","When you were 9 or younger","When you were 10 to 17","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 10 to 17","When you were 10 to 17","When you were 10 to 17","When you were 10 to 17","When you were 10 to 17","When you were 10 to 17","When you were 10 to 17","When you were 10 to 17","When you were 10 to 17","When you were 10 to 17","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","as an older child (10-17)","Yes","","","5","14",NA,"Snickers","Candy Corn","","Always/almost always","Fun Scary Cool","Female","White","No","45-54","After Halloween","Midwest","Yes"
"Yes","","","","","","As an adult","","","","","","","","","","","","As an adult","","","When you were 9 or younger","","","","","","","","","","","","","","When you were 10 to 17;As an adult","","Yes","","","9-11","9-11","No","Milky Way ","Reese’s cups","","Sometimes","Fun with booze","Male","White","No","18-24","After Halloween","Southwest",NA
"Yes","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger","When you were 9 or younger","","When you were 10 to 17","","","","When you were 10 to 17","","","","","","","","","When you were 10 to 17","","","","","","When you were 9 or younger","","","When you were 9 or younger","","","","","When you were 9 or younger","as an older child (10-17)","Yes","","","3-5","22-30",NA,"candy corn ","Licorice","","Rarely","free fun family","Female","White","Yes","18-24","After Halloween","Southeast","Yes"
"Yes","","","","One of these ranges, but I forget","When you were 9 or younger;When you were 10 to 17;As an adult","As an adult","","","","","","When you were 10 to 17","One of these ranges, but I forget","","","","","When you were 10 to 17","","As an adult","","","","When you were 9 or younger;When you were 10 to 17","","","When you were 10 to 17","","","When you were 9 or younger","","","","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17;As an adult","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","2","16","No","twizzlers","anything with coconut","","Always/almost always","fun wild spooky","Female","White","No","25-34","After Halloween","Northeast",NA
"Yes","","","When you were 9 or younger","","When you were 10 to 17","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger","When you were 10 to 17","","Yes","","","2","14","No","","TWIZZLERS","","Never","Spooky scary skeletons","Male","White","No","18-24","After Halloween","Midwest",NA
"Yes","","","","","When you were 9 or younger","","When you were 10 to 17","","","When you were 9 or younger","When you were 9 or younger","","When you were 10 to 17","","","","","","","","","","","","When you were 10 to 17","","","","","When you were 9 or younger","","When you were 10 to 17;As an adult","","","As an adult","as an older child (10-17);as an adult (18+)","Yes","","","3-5","18","No","Butterfinger","Necco ","","Rarely","Candy children consumerism","Female","White","No","25-34","Between start of school and Halloween","West",NA
"Yes","","","","When you were 10 to 17","","","","","","","","","","","When you were 9 or younger","","","","","","","","","When you were 9 or younger","","","","","","","","When you were 10 to 17","","","When you were 10 to 17","as an older child (10-17)","Yes","","","3-4","15","Yes","3 Musketeers and candy corn","Any chocolate with nuts","","Sometimes","Fun fun fun","Female","Black/African American","No","Under 18","After Halloween","West",NA
"Yes","","","","","","","When you were 10 to 17","When you were 10 to 17","","","When you were 9 or younger","","","","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger","","","","","","When you were 9 or younger;When you were 10 to 17","","When you were 9 or younger;When you were 10 to 17","as an older child (10-17)","Yes","","","3-4","13","No","Jawbreakers/Fireballs/Gobstoppers","Butterfingers","","Never","Candy spooky festive","Male","White","No","18-24","After Halloween","Southwest",NA
"Yes","When you were 9 or younger","When you were 10 to 17","","","","","","","","","","When you were 9 or younger","","","","","","","","","","","","When you were 9 or younger","","","","","","","","","","","One of these ranges, but I forget","as an older child (10-17)","Yes","","","3","12","No","Anything chocolate ","Candy corn","","Sometimes","Fun eating friends","Female","Asian","No","Under 18","After Halloween","I do not live in the United States",NA
"Yes","","","","When you were 9 or younger","When you were 10 to 17","When you were 10 to 17","","","","","","","When you were 10 to 17","","When you were 9 or younger;When you were 10 to 17","","","When you were 10 to 17;As an adult","","","When you were 10 to 17","","","When you were 9 or younger","","","","","","","","","","","When you were 10 to 17;As an adult","as an older child (10-17)","Yes","","","6-8","12-14","No","Mini Reeses","Milk duds","","Rarely","Fun silly scary","Female","White","No","18-24","After Halloween","Southeast",NA
"Yes","","","","","When you were 10 to 17","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","","","","","","","","","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","6","12",NA,"Snickers","Jolly ranchers ","","Sometimes","Very frinkin spooky","Male","White","No","55+","Between start of school and Halloween","Midwest",""
"Yes","","","","When you were 9 or younger","","","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","When you were 9 or younger","When you were 9 or younger","","","","","","as an older child (10-17);as an adult (18+)","Yes","","","5","18",NA,"Hershey bars","Anything with cocanut ","","Always/almost always","Great spooky time","Female","White","No","55+","After Halloween","West","No"
"Yes","","","","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17","","When you were 10 to 17","","When you were 10 to 17","","","When you were 10 to 17","","","When you were 10 to 17","","","When you were 9 or younger","","","When you were 10 to 17","","","When you were 9 or younger;When you were 10 to 17","","","When you were 10 to 17","","When you were 10 to 17","When you were 9 or younger","","","","When you were 9 or younger","When you were 10 to 17","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","2","16",NA,"snickers","almond bars","","Always/almost always","exciting fun festive","Female","White","No","25-34","Between start of school and Halloween","Midwest","No"
"Yes","","","","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","","When you were 10 to 17","","","","","","","","When you were 9 or younger;When you were 10 to 17","as an older child (10-17)","Yes","","","4-6","17","No","Chocolate","Mints","","Always/almost always","Fun community weird","Female","White","No","18-24","After Halloween","West",NA
"Yes","","","","When you were 9 or younger","","As an adult","","","","","","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","","","When you were 9 or younger","","","","","When you were 10 to 17","","When you were 10 to 17","","As an adult","","as an older child (10-17)","Yes","","","4-6","21","Yes","Chocolates","Warheads","","Rarely","Fun exhilarating memorable","Female","White","No","18-24","After Halloween","Southeast",NA
